id,lang,title_en,title_lang,version,adp_aud,adp_subaud,author_org,author_here,genre_org,year_org,year_here,publisher,diff_lang,adp_is_transl,nb_tokens
203,fr,Around the Moon,Autour de la Lune,original,---,---,Jules Verne,---,novel,1870,---,Pierre-Jules Hetzel,no,---,58.88
204,fr,Around the Moon,Autour de la Lune,adapted,FL,A1,Jules Verne,Brigitte Faucard-Martinez,---,1870,2009,CLE International: Lectures CLE en français facile,no,no,7.81
205,fr,Around the World in Eighty Days,Le Tour du monde en quatre-vingts jours,original,---,---,Jules Verne,---,novel,1873,---,Pierre-Jules Hetzel,no,---,71.57
206,fr,Around the World in Eighty Days,Le Tour du monde en quatre-vingts jours,adapted,FL,B1,Jules Verne,Brigitte Faucard-Martinez,---,1873,2003,CLE International: Lectures CLE en français facile,no,no,8.85
207,fr,The Beast Within,La Bête humaine,original,---,---,Émile Zola,---,novel,1890,---,G. Charpentier et Cie,no,---,135.84
208,fr,The Beast Within,La Bête humaine,adapted,FL,B1,Émile Zola,Elyette Roussel,---,1890,1996,CLE International: Lectures CLE en français facile,no,no,8.56
209,fr,A Christmas Carol,Cantique de Noël,original,---,---,Charles Dickens,Mlle de Saint-Romain; M. de Goy,novel,1843,1890,Librairie Hachette et Cie,yes,---,35.08
210,fr,A Christmas Carol,Chant de Noël,original,---,---,Charles Dickens,---,novel,1843,2002,Pitbook.com,yes,---,33.97
211,fr,A Christmas Carol,Un chant de Noël,adapted,children,4,Charles Dickens,Lucie Papineau,---,1843,2004,Éditions Héritage,yes,no,1.16
212,fr,The Count of Monte Cristo,Le Comte de Monte-Cristo,original,---,---,Alexandre Dumas,---,novel,1846,---,Baudry and Pétion,no,---,502.75
213,fr,The Count of Monte Cristo,Le Comte de Monte-Cristo,adapted,FL,A2,Alexandre Dumas,Brigitte Faucard-Martinez,---,1846,2016,CLE International: Lectures CLE en français facile,no,no,10.97
214,fr,Cousin Bette,La Cousine Bette,original,---,---,Honoré de Balzac,---,novel,1847,---,Chlendowski-Pétion,no,---,154.37
215,fr,Cousin Bette,La Cousine Bette,adapted,FL,B1,Honoré de Balzac,Brigitte Faucard-Martinez,---,1847,1997,CLE International: Lectures CLE en français facile,no,no,10.60
216,fr,Don Quixote,L'Ingénieux Hidalgo Don Quichotte de la Manche,original,---,---,Miguel de Cervantes,Louis Viardot,novel,1615,1837,J.-J. Dubochet et Cie,yes,---,443.35
217,fr,Don Quixote,Don Quichotte de la Manche,adapted,children,---,Miguel de Cervantes,---,---,1615,1882,Librairie Hachette et Cie,yes,no,110.15
218,fr,Don Quixote,Dom Quixote de la Manche,adapted,theatre,---,Miguel de Cervantes,Guyon Guérin de Bouscal,---,1615,1639,"Toussaint Quinet, Paris",yes,no,16.82
219,fr,Jacquou the Rebel,Jacquou le Croquant,original,---,---,Eugène Le Roy,---,novel,1900,---,Calmann-Lévy,no,---,111.41
220,fr,Jacquou the Rebel,Jacquou le Croquant,adapted,FL,A1,Eugène Le Roy,Brigitte Faucard-Martinez,---,1900,2009,CLE International: Lectures CLE en français facile,no,no,9.38
221,fr,"Lancelot, the Knight of the Cart",Le Chevalier de la charrette : Lancelot,original,---,---,Chrétien de Troyes,---,novel,c. 1180,---,Éditions eBooksFrance,no,---,96.85
222,fr,"Lancelot, the Knight of the Cart",Lancelot,adapted,FL,A1,Chrétien de Troyes,Brigitte Faucard-Martinez,---,c. 1180,2009,CLE International: Lectures CLE en français facile,no,no,9.47
223,fr,Les Misérables,Les Misérables,original,---,---,Victor Hugo,---,novel,1862,---,"A. Lacroix, Verboeckhoven & Cie",no,---,551.72
224,fr,Les Misérables,Les Misérables,adapted,FL,A2,Victor Hugo,Brigitte Faucard-Martinez,---,1862,2016,CLE International: Lectures CLE en français facile,no,no,50.28
225,fr,Les Misérables,Les Misérables,adapted,children,13,Victor Hugo,Camille Page,---,1862,2023,Belin Éducation,no,no,10.34
226,fr,Les Misérables: Fantine,Les Misérables: Fantine,original,---,---,Victor Hugo,---,novel,1862,---,"A. Lacroix, Verboeckhoven & Cie",no,---,118.30
227,fr,Les Misérables: Fantine,Les Misérables: Fantine,adapted,FL,A2,Victor Hugo,Pierre de Beaumont,---,1862,1995,Hachette: Lecture facile,no,no,18.21
228,fr,The Little Match Girl,La Petite Fille aux allumettes,original,---,---,Hans Christian Andersen,Pierre-Georget La Chesnais,fairy tale,1845,1943,Mercure de France,yes,---,0.90
229,fr,The Little Match Girl,La Petite Fille aux allumettes,adapted,FL,---,Hans Christian Andersen,Anne Le Grand,---,1845,2018,Parlez-vous French,yes,no,0.84
230,fr,Madame Bovary,Madame Bovary,original,---,---,Gustave Flaubert,---,novel,1857,---,Michel Lévy frères,no,---,155.22
231,fr,Madame Bovary,Madame Bovary,adapted,FL,B2,Gustave Flaubert,Brigitte Faucard-Martinez,---,1857,1997,CLE International: Lectures CLE en français facile,no,no,10.77
232,fr,Maigret and the Dead Girl,Maigret et la jeune morte,original,---,---,Georges Simenon,---,novel,1954,---,Presses de la Cité,no,---,44.48
233,fr,Maigret and the Dead Girl,Maigret et la jeune morte,adapted,FL,A1,Georges Simenon,Elyette Roussel,---,1954,2009,CLE International: Lectures CLE en français facile,no,no,7.46
234,fr,A Man's Head,La Tête d'un homme,original,---,---,Georges Simenon,---,novel,1931,---,Arthème Fayard,no,---,38.30
235,fr,A Man's Head,La Tête d'un homme,adapted,FL,B2,Georges Simenon,Charles Milou,---,1931,2016,Hachette: Lire en français facile,no,no,18.08
236,fr,The Mystery of the Yellow Room,Le Mystère de la chambre jaune,original,---,---,Gaston Leroux,---,novel,1908,---,Pierre Lafitte et Cie,no,---,89.13
237,fr,The Mystery of the Yellow Room,Le Mystère de la chambre jaune,adapted,FL,B1,Gaston Leroux,Brigitte Faucard-Martinez,---,1908,1998,CLE International: Lectures CLE en français facile,no,no,9.71
238,fr,Nobody's Girl,En Famille,original,---,---,Hector Malot,---,novel,1893,---,Ernest Flammarion,no,---,106.07
239,fr,Nobody's Girl,En Famille,adapted,FL,A1,Hector Malot,Brigitte Faucard-Martinez,---,1893,2007,CLE International: Lectures CLE en français facile,no,no,9.29
240,fr,Oliver Twist,Oliver Twist,original,---,---,Charles Dickens,Alfred Gérardin,novel,1838,1893,Librairie Hachette et Cie,yes,---,84.70
241,fr,Oliver Twist,Oliver Twist,adapted,general,---,Charles Dickens,Patricia Arrou-Vignod,---,1838,2022,Culturea,yes,no,120.60
242,fr,Oliver Twist,Les Aventures d'Oliver Twist,adapted,children,10,Charles Dickens,Émile de La Bédollière,---,1838,2018,Gallimard Jeunesse,yes,no,3.96
243,fr,The Romance of a Mummy,Le Roman de la momie,original,---,---,Théophile Gautier,---,novel,1858,---,Librairie Hachette et Cie,no,---,59.80
244,fr,The Romance of a Mummy,Le Roman de la momie,adapted,FL,A1,Théophile Gautier,Brigitte Faucard-Martinez,---,1858,2009,CLE International: Lectures CLE en français facile,no,no,8.95
245,fr,Romeo and Juliet,Roméo et Juliette,original,---,---,William Shakespeare,François‑Victor Hugo,play,1597,1868,Pagnerre,yes,---,30.15
246,fr,Romeo and Juliet,Roméo et Juliette,adapted,general,---,William Shakespeare,M. d’Ouzicourt,---,1597,1771,Le Jay,yes,no,12.73
247,fr,Romeo and Juliet,Roméo et Juliette,adapted,LD,---,William Shakespeare,Anne Hubert,---,1597,2023,Kiléma Éditions,yes,no,1.83
248,fr,Twenty Thousand Leagues Under the Sea,Vingt mille lieues sous les mers,original,---,---,Jules Verne,---,novel,1870,---,Pierre-Jules Hetzel,no,---,149.41
249,fr,Twenty Thousand Leagues Under the Sea,Vingt mille lieues sous les mers,adapted,FL,A1,Jules Verne,Brigitte Faucard-Martinez,---,1870,2017,CLE International/Anaya: Lectures CLE en français facile,no,no,9.34
250,fr,The Ugly Duckling,Le Vilain Petit Canard,original,---,---,Hans Christian Andersen,Anne-Mathilde Paraf,fairy tale,1843,1983,Gautier-Languereau,yes,---,3.07
251,fr,The Ugly Duckling,Le Vilain Petit Canard,original,---,---,Hans Christian Andersen,Pierre-Georget La Chesnais,fairy tale,1843,1937,Mercure de France,yes,---,3.72
252,fr,The Ugly Duckling,Le Vilain Petit Canard,adapted,children,7,Hans Christian Andersen,---,---,1843,2021,Un an d'école,yes,no,1.06
253,fr,The Ugly Duckling,Le Vilain Petit Canard,adapted,children,3,Hans Christian Andersen,---,---,1843,2021,Kids Bigben,yes,no,0.67
254,fr,The Ugly Duckling,Le Vilain Petit Canard,adapted,children,---,Hans Christian Andersen,---,---,1843,2015,MondeDesPetits,yes,no,0.90
255,fr,Wuthering Heights,Les Hauts de Hurle-Vent,original,---,---,Emily Brontë,Frédéric Delebecque,novel,1847,1925,Payot,yes,---,137.66
256,fr,Wuthering Heights,Un amant,original,---,---,Emily Brontë,Théodore de Wyzewa,novel,1847,1892,Perrin,yes,---,115.77
257,fr,Wuthering Heights,Les Hauts de Hurle-Vent,adapted,FL,B2,Emily Brontë,Hélène Nguyen,---,1847,2018,CLE International: Lectures CLE en français facile,yes,no,12.20
258,it,The Adventures of Pinocchio,Le avventure di Pinocchio,original,---,---,Carlo Collodi,---,novel,1883,---,R. Bemporad & Figlio,no,---,41.58
259,it,The Adventures of Pinocchio,Pinocchio,adapted,children,3,Carlo Collodi,---,---,1883,2019,Edibimbi: C'era una volta,no,no,1.80
260,it,The Adventures of Pinocchio,Le avventure di Pinocchio,adapted,FL,A1,Carlo Collodi,Francesca Colombo,---,1883,2020,Easy Readers LLP,no,no,1.66
261,it,The Adventures of Tom Sawyer,Le avventure di Tom Sawyer,original,---,---,Mark Twain,Bruno Oddera,novel,1876,1987,Arnoldo Mondadori Editore,yes,---,75.84
262,it,The Adventures of Tom Sawyer,Le avventure di Tom Sawyer,original,\---,\---,Mark Twain,\---,novel,1876,\---,Edizione Acrobat / Bibliomania,yes,\---,73.01
263,it,The Adventures of Tom Sawyer,Le avventure di Tom Sawyer,adapted,children,6,Mark Twain,Rosalba Troiano,---,1876,2023,Giunti Editore: I miei primi classici,yes,no,6.06
264,it,Alice's Adventures in Wonderland,Le avventure d'Alice nel paese delle meraviglie,original,---,---,Lewis Carroll,Teodorico Pietrocòla-Rossetti,novel,1865,1872,Ermanno Loescher,yes,---,48.40
265,it,Alice's Adventures in Wonderland,Le avventure d'Alice nel paese delle meraviglie,original,---,---,Lewis Carroll,Beatrice Masini,novel,1865,2021,Il Castoro,yes,---,26.06
266,it,Alice's Adventures in Wonderland,Alice nel paese delle meraviglie,original,---,---,Lewis Carroll,Luigina Battistutta,novel,1865,1999,Nord-Sud,yes,---,25.32
267,it,Alice's Adventures in Wonderland,Le avventure d'Alice nel paese delle meraviglie,adapted,children,3,Lewis Carroll,---,---,1865,2014,Edibimbi: C'era una volta,yes,no,1.97
268,it,Alice's Adventures in Wonderland,Le avventure d'Alice nel paese delle meraviglie,adapted,children,7,Lewis Carroll,Sarah Rossi,---,1865,2014,Edizioni EL: Classicini,yes,no,7.86
269,it,The Canterbury Tales,Dalle novelle di Canterbury,original,---,---,Geoffrey Chaucer,Cino Chiarini,collection of tales,1477,1897,Ditta Nicola Zanichelli,yes,---,50.51
270,it,The Canterbury Tales,Dalle novelle di Canterbury,adapted,FL,B2,Geoffrey Chaucer,Michela Guida,---,1477,2022,Easy Readers LLP,yes,no,4.63
271,it,A Christmas Carol,Canto di Natale,original,---,---,Charles Dickens,Alessia Calvanese,novel,1843,2014,Sacrosanteletture.it,yes,---,28.66
272,it,A Christmas Carol,Cantico di Natale,original,---,---,Charles Dickens,Federigo Verdinois,novel,1843,1888,Ulrico Hoepli,yes,---,26.96
273,it,A Christmas Carol,Un canto di Natale,adapted,theatre,---,Charles Dickens,Giulio C. Carlotto Farnese,---,1843,2012,GiulioFarnese.it,yes,no,8.11
274,it,The Divine Comedy,La Divina Commedia,original,---,---,Dante Alighieri,---,epic poem,1472,---,Johann Neumeister/Evangelista Angelini da Trevi,no,---,101.91
275,it,The Divine Comedy,La Divina Commedia,adapted,children,7,Dante Alighieri,Gisella Laterza,---,1472,2022,Edizioni EL: Classicini,no,no,8.34
276,it,The Divine Comedy,La Divina Commedia,adapted,children,8,Dante Alighieri,Daniele Aristarco,---,1472,2024,Einaudi Ragazzi: In poche parole,no,no,8.34
277,it,Don Quixote,Don Chisciotte della Mancia,original,---,---,Miguel de Cervantes,Alfredo Giannini,novel,1615,1927,G. C. Sansoni,yes,---,435.64
278,it,Don Quixote,Don Chisciotte della Mancia,original,---,---,Miguel de Cervantes,Bartolomeo Gamba,novel,1615,1819,Tipografia di Alvisopoli,yes,---,368.59
279,it,Don Quixote,Don Chisciotte della Mancia,adapted,children,8,Miguel de Cervantes,Silvia Cavenaghi,---,1615,2009,Il Castoro,yes,yes,73.70
280,it,Don Quixote,Don Chisciotte della Mancia,adapted,FL,B2,Miguel de Cervantes,Michela Guida,---,1615,2022,Easy Readers LLP,yes,no,3.61
281,it,Don Quixote,L'avventura di Don Chisciotte e Sancio Panza,adapted,theatre,---,Miguel de Cervantes,Silvia Cavenaghi,---,1615,2016,Copioni – Corriere Spettacolo,yes,no,4.67
282,it,The Iliad,Iliade,original,---,---,Homer,Vincenzo Monti,epic poem,c. 750 BC,1811,Nicolò Bettoni,yes,---,135.99
283,it,The Iliad,Iliade,adapted,FL,B1,Homer,Francesca Colombo,---,c. 750 BC,2023,Easy Readers LLP,yes,no,2.32
284,it,The Metamorphosis,La metamorfosi,original,---,---,Franz Kafka,---,short story,1915,---,BooksandBooks.net,yes,---,16.91
285,it,The Metamorphosis,La metamorfosi,adapted,FL,B2,Franz Kafka,Michela Guida,---,1915,2022,Easy Readers LLP,yes,no,2.95
286,it,Moby Dick,Moby Dick,original,---,---,Herman Melville,Cesare Pavese,novel,1851,1932,Frassinelli,yes,---,211.75
287,it,Moby Dick,Moby Dick,adapted,children,7,Herman Melville,Davide Morosinotto,---,1851,2013,Edizioni EL: Classicini,yes,no,7.73
288,it,The Odyssey,Odissea,original,---,---,Homer,Ippolito Pindemonte,epic poem,c. 730 BC,1822,Società Tipografica Editrice,yes,---,104.43
289,it,The Odyssey,Odissea,adapted,FL,B2,Homer,Francesca Colombo,---,c. 730 BC,2024,Easy Readers LLP,yes,no,2.92
290,it,Oliver Twist,"Oliviero Twist, ovvero Il progresso di un fanciullo di parrocchia",original,---,---,Charles Dickens,Giambattista Baseggio,novel,1838,1840,Tipografia e Libreria Pirotta e C.,yes,---,148.00
291,it,Oliver Twist,Oliver Twist,adapted,children,12,Charles Dickens,---,---,1838,2007,Bompiani–RCS Libri,yes,no,8.26
292,it,Oliver Twist,Oliver Twist,adapted,children,6,Charles Dickens,Sara Lurago,---,1838,2021,Edibimbi: Primi classici,yes,yes,1.54
293,it,Romeo and Juliet,Romeo e Giulietta,original,---,---,William Shakespeare,---,play,1597,1943,TheVirtualLibrary.org,yes,---,26.85
294,it,Romeo and Juliet,Romeo e Giulietta,original,---,---,William Shakespeare,Goffredo Raponi,play,1597,2018,Liber Liber,yes,---,30.82
295,it,Romeo and Juliet,Romeo e Giulietta,original,---,---,William Shakespeare,---,play,1597,2018,Oretti.it,yes,---,29.57
296,it,Romeo and Juliet,Romeo e Giulietta,adapted,children,7,William Shakespeare,Roberto Piumini,---,1597,2015,Edizioni EL: Classicini,yes,no,7.83
297,it,Romeo and Juliet,Romeo e Giulietta,adapted,FL,---,William Shakespeare,---,---,1597,2018,Palkettostage,yes,yes,19.66
298,ja,The Adventures of Tom Sawyer,トム＝ソーヤーの冒険,original,---,---,Mark Twain,Kinetarō Yoshida,novel,1876,1975,Kaiseisha: Kaiseisha Bunko,yes,---,112.05
299,ja,The Adventures of Tom Sawyer,トム＝ソーヤーの冒険,adapted,children,---,Mark Twain,Yoshihide Iijima,---,1876,2016,Kōdansha,yes,no,53.45
300,ja,Alice's Adventures in Wonderland,不思議の国のアリス,original,---,---,Lewis Carroll,Hiroo Yamagata,novel,1865,1999,Project Sugita Genpaku,yes,---,38.83
301,ja,Alice's Adventures in Wonderland,不思議の国のアリス,adapted,children,10,Lewis Carroll,Yoshiko Nishida,---,1865,2015,Poplar-sha,yes,no,33.97
302,ja,Alice's Adventures in Wonderland,ふしぎの国のアリス,adapted,children,8,Lewis Carroll,Shōichirō Kawai,---,1865,2010,Kadokawa Shoten,yes,no,38.87
303,ja,The Ant and the Grasshopper,アリとキリギリス,original,---,---,Aesop,Hanama Takashi,fable,c. 600 BC,---,aesopus.web.fc2.com,yes,---,0.13
304,ja,The Ant and the Grasshopper,アリとキリギリス,adapted,children,---,Aesop,---,---,c. 600 BC,2011,Fusion Marketing,yes,no,0.44
305,ja,The Ant and the Grasshopper,アリとキリギリス,adapted,children,---,Aesop,Chīsana Honyakuya-san,---,c. 600 BC,---,Hukumusume Dōwashū,yes,no,0.45
306,ja,The Ant and the Grasshopper,アリとキリギリス,adapted,FL,A1,Aesop,---,---,c. 600 BC,2014,NPO Tagengo Tadoku,yes,no,0.28
307,ja,A Christmas Carol,クリスマス・キャロル,original,---,---,Charles Dickens,Katokt,novel,1843,2003,Project Sugita Genpaku,yes,---,40.72
308,ja,A Christmas Carol,クリスマス・キャロル,adapted,FL,B1,Charles Dickens,Makiko Awano,---,1843,2016,Taishukan Shoten,yes,no,4.93
309,ja,Cinderella,アッシェンプッテル,original,---,---,Brothers Grimm,Okubo Yu,fairy tale,1812,2002,Aozora Bunko,yes,---,3.96
310,ja,Cinderella,シンデレラ,adapted,FL,A2,Brothers Grimm,---,---,1812,2016,Taishukan Shoten,yes,no,1.60
311,ja,The Fox and the Crow,カラスとキツネとのこと,original,---,---,Aesop,---,fable,c. 600 BC,1659,Itō Sanemon,yes,---,0.21
312,ja,The Fox and the Crow,キツネとカラス,adapted,FL,A1,Aesop,---,---,c. 600 BC,2017,Taishukan Shoten,yes,no,0.08
313,ja,Hansel and Gretel,ヘンゼルとグレーテル,original,---,---,Brothers Grimm,Masao Kusuyama,fairy tale,1812,1949,Komine Shoten,yes,---,4.76
314,ja,Hansel and Gretel,ヘンゼルとグレーテル,original,---,---,Brothers Grimm,Genkuro Yazaki,fairy tale,1812,1980,Kaiseisha: Kaiseisha Bunko,yes,---,4.75
315,ja,Hansel and Gretel,ヘンゼルとグレーテル,adapted,FL,A2,Brothers Grimm,---,---,1812,2016,Taishukan Shoten,yes,no,1.37
316,ja,Jack and the Beanstalk,ジャックと豆の木,original,---,---,---,Masao Kusuyama,fairy tale,1807,1950,Komine Shoten,yes,---,4.09
317,ja,Jack and the Beanstalk,ジャックと豆の木,adapted,FL,A2,---,---,---,1807,2016,Taishukan Shoten,yes,no,1.65
318,ja,Les Misérables,レ・ミゼラブル,original,---,---,Victor Hugo,Yoshio Toyoshima,novel,1862,1987,Iwanami Shoten: Iwanami Bunko,yes,---,805.40
319,ja,Les Misérables,レ・ミゼラブル,adapted,children,8,Victor Hugo,Ryōichi Tsukahara,---,1862,2012,Kōdansha,yes,no,51.55
320,ja,Les Misérables,レ・ミゼラブル,adapted,children,10,Victor Hugo,Kō Iwase; Takashi Ōno,---,1862,1993,: Kaiseisha: Kaiseisha Bunko,yes,no,174.15
321,ja,The Ugly Duckling,醜い家鴨の子,original,---,---,Hans Christian Andersen,Kan Kikuchi,fairy tale,1843,1928,Kōbunsha/Bungei Shunjūsha,yes,---,8.11
322,ja,The Ugly Duckling,みにくいアヒルの子,adapted,FL,A1,Hans Christian Andersen,Emiko Miyagi,---,1843,2017,Taishukan Shoten,yes,no,0.73
323,ja,The Wonderful Wizard of Oz,オズの魔法使い,original,---,---,L. Frank Baum,Masayo Takeda; Hiroo Yamagata,novel,1900,2006,Project Sugita Genpaku,yes,---,49.48
324,ja,The Wonderful Wizard of Oz,オズの魔法使い,adapted,children,8,L. Frank Baum,Chieko Nakagawa; Mika Takahashi,---,1900,2016,Shinsei Publishing,yes,no,21.41
325,ru,The Adventures of Tom Sawyer,Приключения Тома Сойера,original,---,---,Mark Twain,Korney Ivanovich Chukovsky,novel,1876,1935,Kaliningradskoe knizhnoe izdatelstvo,yes,---,158.44
326,ru,The Adventures of Tom Sawyer,Приключения Тома Сойера,original,---,---,Mark Twain,Nina Leonidovna Daruzes,novel,1876,1948,Vita Nova,yes,---,60.53
327,ru,The Adventures of Tom Sawyer,Приключения Тома Сойера,adapted,children,6,Mark Twain,Igor Olegovich Rodin,---,1876,2014,Direct-Media,yes,no,34.18
328,ru,Alice's Adventures in Wonderland,Приключения Алисы в Стране чудес,original,---,---,Lewis Carroll,Nina Mikhailovna Demurova,novel,1865,1978,Nauka,yes,---,27.40
329,ru,Alice's Adventures in Wonderland,Приключения Алисы в Стране чудес,original,---,---,Lewis Carroll,Yury Leonidovich Nesterenko,novel,1865,2018,Evertype,yes,---,21.59
330,ru,Alice's Adventures in Wonderland,Алиса в Стране чудес,original,---,---,Lewis Carroll,A. N. Rozhdestvenskaya,novel,1865,1912,Eksmo,yes,---,4.94
331,ru,Alice's Adventures in Wonderland,Приключения Алисы в Стране чудес,adapted,children,12,Lewis Carroll,Leonid Lvovich Yakhnin,---,1865,1999,Eksmo,yes,no,19.50
332,ru,Anna Karenina,Анна Каренина,original,---,---,Leo Tolstoy,---,novel,1878,---,T. Ris Printing House,no,---,271.25
333,ru,Anna Karenina,Анна Каренина,adapted,FL,B1,Leo Tolstoy,Anastasia Chulkova,---,1878,2016,Sistema Kalinka,no,no,9.01
334,ru,Anna Karenina,Анна Каренина,adapted,FL,B1,Leo Tolstoy,Z. N. Potapurchenko,---,1878,2024,KLASS!noe chtenie,no,no,7.89
335,ru,Bela,Бэла,original,---,---,Mikhail Yuryevich Lermontov,---,short story,1839,---,Otechestvennye zapiski,no,---,10.67
336,ru,Bela,Бэла,adapted,FL,B1,Mikhail Yuryevich Lermontov,Frances Marshak-Sobotka,---,1839,1947,D. C. Heath and Company,no,no,9.67
337,ru,Biryuk / The Forest Warden,Бирюк,original,---,---,Ivan Sergeyevich Turgenev,---,short story,1848,---,Sovremennik,no,---,2.11
338,ru,Biryuk / The Forest Warden,Бирюк,adapted,FL,B2,Ivan Sergeyevich Turgenev,Reason Alva Goodwin; George V. Bobrinskoy,---,1848,1950,D. C. Heath and Company,no,no,2.31
339,ru,A Christmas Carol,Рождественская песня в прозе,original,---,---,Charles Dickens,---,novel,1843,---,I. D. Sytin and Co.,yes,---,23.45
340,ru,A Christmas Carol,Рождественская песнь,adapted,children,--,Charles Dickens,Maria O. Torchinskaya,---,1843,2018,Mahaon,yes,yes,28.97
341,ru,Crime and Punishment,Преступление и наказание,original,---,---,Fyodor Mikhailovich Dostoevsky,---,novel,1866,---,Russkiy Vestnik,no,---,181.40
342,ru,Crime and Punishment,Преступление и наказание,adapted,FL,B2,Fyodor Mikhailovich Dostoevsky,Z. N. Potapurchenko,---,1843,2025,KLASS!noe chtenie,no,no,14.93
343,ru,Don Quixote,Дон Кихот,original,---,---,Miguel de Cervantes,Boris Apollonovich Krzhevsky; Aleksandr Aleksandrovich Smirnov,novel,1615,2003,Nauka,yes,---,162.08
344,ru,Don Quixote,Дон Кихот,adapted,children,11,Miguel de Cervantes,Boris Mikhailovich Engelhardt,---,1615,1938,Detizdat,yes,no,160.98
345,ru,Kashtanka,Каштанка,original,---,---,Anton Pavlovich Chekhov,---,short story,1884,---,Nauka,no,---,5.94
346,ru,Kashtanka,Каштанка,adapted,FL,C1,Anton Pavlovich Chekhov,Anastasia Chulkova,---,1884,2018,Sistema Kalinka,no,no,5.52
347,ru,Knock! Knock! Knock!,Стучит!,original,---,---,Ivan Sergeyevich Turgenev,---,short story,1874,---,Brothers Salaev,no,---,3.81
348,ru,Knock! Knock! Knock!,Стучит!,adapted,FL,B2,Ivan Sergeyevich Turgenev,Reason Alva Goodwin; George V. Bobrinskoy,---,1874,1950,D. C. Heath and Company,no,no,3.99
349,ru,Madame Bovary,Госпожа Бовари,original,---,---,Gustave Flaubert,A. N. Chebotarevskaya,novel,1857,2012,Klub semeinogo dosuga,yes,---,93.01
350,ru,Madame Bovary,Госпожа Бовари,original,---,---,Gustave Flaubert,Nikolai Mikhailovich Lyubimov,novel,1857,---,100bestbooks.ru,yes,---,89.20
351,ru,Madame Bovary,Госпожа Бовари,adapted,children,15,Gustave Flaubert,V. A. Sagalova,---,1857,1996,Olimp,yes,no,1.80
352,ru,The Nose,Нос,original,---,---,Nikolai Vasilyevich Gogol,---,short story,1836,---,Sovremennik,no,---,7.73
353,ru,The Nose,Нос,adapted,FL,B1,Nikolai Vasilyevich Gogol,N. A. Eremina,---,1836,2014,KLASS!noe chtenie,no,no,5.71
354,ru,Oliver Twist,Приключения Оливера Твиста,original,---,---,Charles Dickens,Aleksandra Vladimirovna Krivtsova,novel,1838,2023,Eksmo,yes,---,129.88
355,ru,Oliver Twist,Приключения Оливера Твиста,adapted,children,11,Charles Dickens,Igor Olegovich Rodin,---,1838,2015,Direct-Media,yes,no,11.11
356,ru,Oysters,Устрицы,original,---,---,Anton Pavlovich Chekhov,---,short story,1887,---,Nauka,no,---,1.13
357,ru,Oysters,Устрицы,adapted,FL,C1,Anton Pavlovich Chekhov,Anastasia Chulkova,---,1887,2018,Sistema Kalinka,no,no,1.30
358,ru,The Portrait,Портрет,original,---,---,Nikolai Vasilyevich Gogol,---,short story,1842,---,Sovremennik,no,---,17.25
359,ru,The Portrait,Портрет,adapted,FL,B2,Nikolai Vasilyevich Gogol,N. A. Eremina,---,1842,2015,KLASS!noe chtenie,no,no,7.61
360,ru,The Provincial Lady,Провинциалка,original,---,---,Ivan Sergeyevich Turgenev,---,play,1851,---,Otechestvennye zapiski,no,---,10.11
361,ru,The Provincial Lady,Провинциалка,adapted,FL,C1,Ivan Sergeyevich Turgenev,Reason Alva Goodwin; George V. Bobrinskoy,---,1851,1950,D. C. Heath and Company,no,no,10.71
362,ru,Revenge,Месть,original,---,---,Anton Pavlovich Chekhov,---,short story,1882,---,Nauka,no,---,1.11
363,ru,Revenge,Месть,adapted,FL,C1,Anton Pavlovich Chekhov,Anastasia Chulkova,---,1882,2018,Sistema Kalinka,no,no,1.30
364,ru,Romeo and Juliet,Ромео и Джульетта,original,---,---,William Shakespeare,Dmitry Lavrentyevich Mikhalovsky,play,1597,1888,Kristal,yes,---,23.36
365,ru,Romeo and Juliet,Ромео и Джульетта,original,---,---,William Shakespeare,Boris Leonidovich Pasternak,play,1597,1943,Agentstvo FTM,yes,---,18.20
366,ru,Romeo and Juliet,Ромео и Джульетта,adapted,theatre,---,William Shakespeare,(transl.from Jules Barbier; Michel Carré),---,1597,1867,---,yes,yes,5.30
367,ru,The Shot,Выстрел,original,---,---,Aleksandr Sergeyevich Pushkin,---,short story,1831,---,Pluchart,no,---,3.69
368,ru,The Shot,Выстрел,adapted,FL,A2,Aleksandr Sergeyevich Pushkin,Fruma Gottschalk,---,1831,1946,D. C. Heath and Company,no,no,3.82
369,ru,The Stationmaster,Станционный смотритель,original,---,---,Aleksandr Sergeyevich Pushkin,---,short story,1831,---,Pluchart,no,---,3.45
370,ru,The Stationmaster,Станционный смотритель,adapted,FL,A2,Aleksandr Sergeyevich Pushkin,Fruma Gottschalk,---,1831,1946,D. C. Heath and Company,no,no,4.36
371,ru,Taman,Тамань,original,---,---,Mikhail Yuryevich Lermontov,---,short story,1840,---,Otechestvennye zapiski,no,---,3.39
372,ru,Taman,Тамань,adapted,FL,A1,Mikhail Yuryevich Lermontov,Frances Marshak-Sobotka,---,1840,1945,D. C. Heath and Company,no,no,5.40
373,ru,Taras Bulba,Тарас Бульба,original,---,---,Nikolai Vasilyevich Gogol,---,short story,1835,---,Department of Foreign Trade,no,---,36.82
374,ru,Taras Bulba,Тарас Бульба,adapted,FL,B1,Nikolai Vasilyevich Gogol,Anastasia Chulkova,---,1835,2016,Sistema Kalinka,no,no,8.07
