id,lang,title_en,title_lang,version,adp_aud,adp_subaud,author_org,author_here,genre_org,year_org,year_here,publisher,diff_lang,adp_is_transl,nb_tokens
075,en,The Picture of Dorian Gray,The Picture of Dorian Gray,adapted,FL,B2,Oscar Wilde,L. A. Hill,---,1891,1994,Oxford UP: Oxford Progressive English Readers,no,no,32.91
076,en,The Picture of Dorian Gray,The Picture of Dorian Gray,adapted,FL,B1,Oscar Wilde,Victoria Heward,---,1891,2020,CIDEB / Black Cat,no,no,11.50
077,en,Robinson Crusoe,Robinson Crusoe,original,---,---,Daniel Defoe,---,novel,1719,---,W. Taylor,no,---,121.62
078,en,Robinson Crusoe,The Young Folks' Robinson Crusoe,adapted,children,---,Daniel Defoe,Eliza Ware Farrar,---,1719,1830,Lee and Shepard,no,no,26.31
079,en,Romeo and Juliet,The Tragedy of Romeo and Juliet,original,---,---,William Shakespeare,---,play,1597,---,Project Gutenberg,no,---,26.17
080,en,Romeo and Juliet,Romeo and Juliet,adapted,general,---,William Shakespeare,Jane Tanner,---,1597,2009,Wichita Shakespeare Company,no,no,13.74
081,en,Romeo and Juliet,Romeo and Juliet,adapted,children,---,William Shakespeare,Martin Lamb; Penelope Middelboe,---,1597,---,Shakespeare Schools Festival,no,no,5.74
082,en,Romeo and Juliet,Romeo and Juliet,adapted,children,---,William Shakespeare,John Crowther,---,1597,2003,Spark Publishing,no,no,58.21
083,en,Romeo and Juliet,Romeo and Juliet,adapted,children,4,William Shakespeare,Maddie Heyes,---,1597,2016,Eleanor Palmer Primary School,no,no,3.57
084,en,The Ugly Duckling,The Ugly Duckling,original,---,---,Hans Christian Andersen,H. B. Paull,fairy tale,1843,1917,Constable & Co.,yes,---,3.80
085,en,The Ugly Duckling,The Ugly Duckling,original,---,---,Hans Christian Andersen,Hamilton Wright Mabie (ed.),fairy tale,1843,1905,"Doubleday, Page & Company",yes,---,3.76
086,en,The Ugly Duckling,The Ugly Duckling,adapted,children,3,Hans Christian Andersen,Lynne Bradbury,---,1843,1979,Ladybird Books Ltd.,yes,no,0.75
087,en,The Ugly Duckling,The Ugly Duckling,adapted,children,---,Hans Christian Andersen,---,---,1843,2002,Parragon Publishing: 1000 Stories and Rhymes,yes,no,0.91
088,en,The Ugly Duckling,The Ugly Duckling,adapted,children,6,Hans Christian Andersen,Maryann Dobeck,---,1843,2009,Heinemann,yes,no,0.99
089,en,The Ugly Duckling,The Ugly Duckling,adapted,FL,A2,Hans Christian Andersen,Melvyn Hayes,---,1843,2017,British Council: LearnEnglish Kids,yes,no,0.23
090,en,Wuthering Heights,Wuthering Heights,original,---,---,Emily Brontë,---,novel,1847,---,Thomas Cautley Newby,no,---,119.18
091,en,Wuthering Heights,Wuthering Heights,adapted,FL,B2,Emily Brontë,Elizabeth Ferretti,---,1847,2011,ELI s.r.l.,no,no,25.88
092,bg,The Adventures of Pinocchio,Пинокио,original,---,---,Carlo Collodi,Petar Dragoev,novel,1883,1950,Sofi-R,yes,---,36.75
093,bg,The Adventures of Pinocchio,Пинокио,adapted,children,4,Carlo Collodi,---,---,1883,2011,PAN: Moyata Parva Prikazka,yes,no,0.93
094,bg,The Adventures of Pinocchio,Пинокио,adapted,children,---,Carlo Collodi,Rumyana Saraydarova-Parvanova,---,1883,2023,Hermes,yes,yes,19.74
095,bg,Alice's Adventures in Wonderland,Алиса в страната на чудесата,original,---,---,Lewis Carroll,Lazar Goldman,novel,1865,1996,PAN: Vechnite Detski Romani,yes,---,22.23
096,bg,Alice's Adventures in Wonderland,Алиса в страната на чудесата,adapted,children,4,Lewis Carroll,---,---,1865,2015,PAN: Moyata Parva Prikazka,yes,no,1.04
097,bg,Beauty and the Beast,Красавицата и звярът,original,---,---,Gabrielle-Suzanne de Villeneuve,Vassil Velchev,fairy tale,1740,2009,Reader's Digest Sofia,yes,---,0.94
098,bg,Beauty and the Beast,Красавицата и звярът,adapted,children,0,Gabrielle-Suzanne de Villeneuve,Hristina Yotova,---,1740,2015,SoftPress: Prikazki za Nai-malkite,yes,yes,0.81
099,bg,Gulliver's Travels,Пътешествията на Гъливер,original,---,---,Jonathan Swift,Boyan Atanassov; Teodora Atanassova,novel,1726,1977,Narodna Kultura,yes,---,96.31
100,bg,Gulliver's Travels,Пътешествията на Гъливер,adapted,children,7,Jonathan Swift,Tolya Radeva,---,1726,2023,Miranda,yes,yes,32.50
101,bg,The Little Match Girl,Малката кибритопродавачка,original,---,---,Hans Christian Andersen,---,fairy tale,1845,2015,Roditel.bg,yes,---,0.82
102,bg,The Little Match Girl,Малката кибритопродавачка,adapted,children,---,Hans Christian Andersen,Vassil Velchev,---,1845,2009,Reader's Digest,yes,no,0.47
103,bg,Little Red Riding Hood,Червената шапчица,original,---,---,Charles Perrault,Zefira Katskova,fairy tale,1697,1974,Narodna Mladezh,yes,---,0.76
104,bg,Little Red Riding Hood,Червената шапчица,adapted,children,4,Charles Perrault,Stefan Nedkov,---,1697,2020,InfoDar,yes,yes,0.94
105,bg,The Odyssey,Одисея,original,---,---,Homer,Georgi Batakliev,epic poem,c. 730 BC,1971,Narodna Kultura,yes,---,105.03
106,bg,The Odyssey,Одисея,adapted,children,7,Homer,Tolya Radeva,---,c. 730 BC,2022,Miranda: Zlatni Mitove,yes,yes,27.67
107,bg,Peter Pan,Питър Пан,original,---,---,J. M. Barrie,Boyan Atanassov; Teodora Atanassova,novel,1911,1981,Otechestvo: Smehurko,yes,---,46.67
108,bg,Peter Pan,Питър Пан,adapted,children,6,J. M. Barrie,A. A. Klimov,---,1911,2013,Koala Press,yes,no,27.28
109,bg,Peter Pan,Питър Пан,adapted,children,4,J. M. Barrie,---,---,1911,2021,PAN: Moyata Parva Prikazka,yes,no,1.00
110,bg,The Ugly Duckling,Грозното патенце,original,---,---,Hans Christian Andersen,Svetoslav Minkov,fairy tale,1843,1976,Balkan,yes,---,3.24
111,bg,The Ugly Duckling,Грозното патенце,adapted,children,---,Hans Christian Andersen,Stefan Nedkov,---,1843,2020,Book Travel,yes,yes,3.38
112,bg,The Wonderful Wizard of Oz,Вълшебникът от Оз,original,---,---,L. Frank Baum,Anna Kamenova,novel,1900,2006,Trud: Zlatni Detski Knigi,yes,---,32.76
113,bg,The Wonderful Wizard of Oz,Вълшебникът от Оз,adapted,children,4,L. Frank Baum,---,---,1900,2019,PAN: Moyata Parva Prikazka,yes,no,0.72
114,el,The Adventures of Pinocchio,Οι περιπέτειες του Πινόκιο,original,---,---,Carlo Collodi,Evridiki Amanatidou,novel,1883,2018,Ekdoseis Saita,yes,---,40.74
115,el,The Adventures of Pinocchio,Πινόκιο,adapted,children,3,Carlo Collodi,---,---,1883,2015,Ekdoseis Tziampiris–Pyramida,yes,no,0.29
